Repo Name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,84500,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,77900,https://github.com/angular/angular
storybook,storybookjs,66600,https://github.com/storybookjs/storybook
ionic-framework,ionic-team,45700,https://github.com/ionic-team/ionic-framework
33-js-concepts,leonardomso,45300,https://github.com/leonardomso/33-js-concepts
prettier,prettier,41300,https://github.com/prettier/prettier
sheetjs,SheetJS,28200,https://github.com/SheetJS/sheetjs
angular-cli,angular,25100,https://github.com/angular/angular-cli
components,angular,22300,https://github.com/angular/components
NativeScript,NativeScript,20700,https://github.com/NativeScript/NativeScript
tabby,Eugeny,20200,https://github.com/Eugeny/tabby
generator-jhipster,jhipster,19100,https://github.com/jhipster/generator-jhipster
rxdb,pubkey,16600,https://github.com/pubkey/rxdb
handsontable,handsontable,16000,https://github.com/handsontable/handsontable
bit,teambit,14400,https://github.com/teambit/bit
sweetalert2,sweetalert2,13800,https://github.com/sweetalert2/sweetalert2
javascript-testing-best-practices,goldbergyoni,13800,https://github.com/goldbergyoni/javascript-testing-best-practices
mean,linnovate,12100,https://github.com/linnovate/mean
codesandbox-client,codesandbox,11100,https://github.com/codesandbox/codesandbox-client
coreui-free-bootstrap-admin-template,coreui,11000,https://github.com/coreui/coreui-free-bootstrap-admin-template
angular-starter,PatrickJS,10400,https://github.com/PatrickJS/angular-starter
PeerTube,Chocobozzz,9900,https://github.com/Chocobozzz/PeerTube
nx,nrwl,9400,https://github.com/nrwl/nx
protractor,angular,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8500,https://github.com/OnsenUI/OnsenUI
awesome-angular,PatrickJS,8200,https://github.com/PatrickJS/awesome-angular
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
graphql-code-generator,dotansimha,7900,https://github.com/dotansimha/graphql-code-generator
ng-bootstrap,ng-bootstrap,7900,https://github.com/ng-bootstrap/ng-bootstrap
ng-zorro-antd,NG-ZORRO,7800,https://github.com/NG-ZORRO/ng-zorro-antd
