Repo Name,Username,Stars,URL
infinite-scroll,metafizzy,7000,https://github.com/metafizzy/infinite-scroll
Blog,ljianshu,6900,https://github.com/ljianshu/Blog
unfetch,developit,5200,https://github.com/developit/unfetch
form,jquery-form,5100,https://github.com/jquery-form/form
tabulator,olifolkerd,4300,https://github.com/olifolkerd/tabulator
elFinder,Studio-42,4200,https://github.com/Studio-42/elFinder
reqwest,ded,2900,https://github.com/ded/reqwest
learn-to-send-email-via-google-script-html-no-server,dwyl,2700,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
bliss,LeaVerou,2300,https://github.com/LeaVerou/bliss
wretch,elbywan,2300,https://github.com/elbywan/wretch
featherlight,noelboss,2000,https://github.com/noelboss/featherlight
Ajax-hook,wendux,1900,https://github.com/wendux/Ajax-hook
jquery-confirm,craftpip,1800,https://github.com/craftpip/jquery-confirm
web-interview,yisainan,1800,https://github.com/yisainan/web-interview
sente,ptaoussanis,1600,https://github.com/ptaoussanis/sente
Enterprise,joaomilho,1500,https://github.com/joaomilho/Enterprise
tracy,nette,1500,https://github.com/nette/tracy
jeeplatform,u014427391,1300,https://github.com/u014427391/jeeplatform
pjax,MoOx,1200,https://github.com/MoOx/pjax
css-spinner,loadingio,1200,https://github.com/loadingio/css-spinner
eCommerce,codingforentrepreneurs,1200,https://github.com/codingforentrepreneurs/eCommerce
uploader,danielm,1100,https://github.com/danielm/uploader
render_async,renderedtext,1000,https://github.com/renderedtext/render_async
saber,swlib,935,https://github.com/swlib/saber
infinite-ajax-scroll,webcreate,839,https://github.com/webcreate/infinite-ajax-scroll
RestClient,proyecto26,821,https://github.com/proyecto26/RestClient
opensource-socialnetwork,opensource-socialnetwork,816,https://github.com/opensource-socialnetwork/opensource-socialnetwork
rapid.js,rapidjs,707,https://github.com/rapidjs/rapid.js
tsrpc,k8w,633,https://github.com/k8w/tsrpc
JavaScriptStudy,csxiaoyaojianxian,590,https://github.com/csxiaoyaojianxian/JavaScriptStudy
